question,answer_1,answer_2,answer_3,answer_4,answer_5,correct_answer,question_comment,type
50% de um minuto corresponde a quantos segundos?,30,45,75,25,nda,1,,1
Como se chama o parceiro do Batman?,Robin,Robson,Spider-Man,Hulk,nda,1,,1
Como se chama popularmente quem nasceu em Minas Gerais?,Mineiro,Maneiro,Maninho,Marinho,nda,1,,1
"De quantos em quantos anos ocorre o ano bissexto?,""4 anos"",""6 anos"",""2 anos"",""3 anos"",nda,1,,1"
Em quantas partes se divide o corpo humano?,3,5,15,25,nda,1,,1
50% de um minuto corresponde a quantos segundos?,30,45,75,25,nda,1,,1
"Onde se originou a Democracia?,""Em Atenas"",""Em Creta"",""No Egito"",""Em Esparta"",nda,1,,1"
Como se chama o parceiro do Batman?,Robin,Robson,Spider-Man,Hulk,nda,1,,1
Qual a capital de Portugal?,Lisboa,Cascais,Coimbra,Porto,nda,1,,1
Como se chama popularmente quem nasceu em Minas Gerais?,Mineiro,Maneiro,Maninho,Marinho,nda,1,,1
Qual a cor da frase Ordem e Progresso na bandeira do Brasil?,Verde,Amarelo,Azul,Preto,nda,1,,1
"De quantos em quantos anos ocorre o ano bissexto?,""4 anos"",""6 anos"",""2 anos"",""3 anos"",nda,1,,1"
"Qual alternativa abaixo equivale a 1 grama?,""1000 Miligrama"",""1200 Miligrama"",""10000 Miligrama"",""100000 Miligrama"",nda,1,,1"
Em quantas partes se divide o corpo humano?,3,5,15,25,nda,1,,1
Qual o alimento preferido do urso panda?,Bambu,Insetos,Amendoim,Nozes,nda,1,,1
Qual o atual sistema de governo no Brasil?,Presidencialismo,Monarquia,Parlamentarismo,Imperialismo,nda,1,,1
Qual o dobro de 4?,8,16,4,2,nda,1,,1
"Qual o nome dado ao Super Homem pelos pais adotivos?,""Clark Kent"",""Clarc Kant"",Kal-El,""Clarque Quent"",nda,1,,1"
Qual o nome do fantasminha camarada?,Gasparzinho,Fantasminha,Amiguinho,Luquinha,nda,1,,1
Qual a capital de Portugal?,Lisboa,Cascais,Coimbra,Porto,nda,1,,1
"Qual o primeiro personagem criado por Walt Disney?,""Mickey Mouse"",""Pato Donald"",""Minnie Mouse"",Pluto,nda,1,,1"
Qual a cor da frase Ordem e Progresso na bandeira do Brasil?,Verde,Amarelo,Azul,Preto,nda,1,,1
Quantas unidades tem uma dezena?,10,100,1000,10000,nda,1,,1
"Qual alternativa abaixo equivale a 1 grama?,""1000 Miligrama"",""1200 Miligrama"",""10000 Miligrama"",""100000 Miligrama"",nda,1,,1"
Quantos componentes formavam os Beatles?,4,5,6,7,nda,1,,1
Quantos polos existem no globo terrestre?,2,3,4,9,nda,1,,1
Como se chama a personagem principal no filme Frozen?,Elsa,Maria,Anna,Bruna,nda,1,,1
Qual o alimento preferido do urso panda?,Bambu,Insetos,Amendoim,Nozes,nda,1,,1
